actor_common.dies,dies.,死了。
actor_data.description.mummy,"A mummified human being, possibly dating back millennia.",一具木乃伊化的人类，可能可追溯到数千年前。
actor_data.description.niduza,"A deacon for the deep-sea folk, this damnable shaman commands sorcery that backs its kin and wracks its foes. It is coated in copper scales which boast of majesty, and disdain is innate to its cold glare.",深海族民的执事，这可憎的萨满支配着既能援护同族又能折磨敌人的巫术。它覆满象征威严的铜色鳞片，冰冷目光中天生含着轻蔑。
actor_data.description.nitokris,"The mummified sixth dynasty Egyptian pharaoh Nitokris. How she came to dwell here is beyond anyone's guess. Her name is found in the histories of Herodotus and writings of Manetho. According to the writings of the former, she took the throne by inviting her brother's murderers to a banquet. Then killed them by flooding the sealed room with the Nile.",第六王朝埃及法老尼托克丽丝的木乃伊。她为何会居于此处，没人能猜到。她的名字见于希罗多德的史书与曼涅托的著作。按前者记载，她登上王位后邀请谋杀她兄弟的人赴宴，然后以尼罗河水灌满封闭房间，将他们杀死。
actor_data.description.ooze_lurking,"A product of all that has festered in forgotten vaults for untold ages. It exudes a mephitic cloud stemming from the unknown chemical processes that are constantly occurring within it. This species has developed a trait that allows it to mimic the colors of its surroundings, rendering it nearly invisible to its prey.",它是遗忘墓穴中无数年代以来一切腐败物的产物。它散发出一团臭毒云雾，源自体内持续发生的未知化学过程。这个种类发展出一种特性，能够模拟周遭颜色，使自己在猎物面前近乎隐形。
actor_data.description.ooze_poison,A product of all that has festered in forgotten vaults for untold ages. It exudes a mephitic cloud stemming from the unknown chemical processes that are constantly occurring within it. The alarmingly green hue of this particular specimen indicates its utter venomousness.,它是遗忘墓穴中无数年代以来一切腐败物的产物。它散发出一团臭毒云雾，源自体内持续发生的未知化学过程。这个样本令人警觉的绿色色泽表明它剧毒无比。
actor_data.description.ooze_putrid,"A product of all that has festered in forgotten vaults for untold ages. It exudes a mephitic cloud stemming from the unknown chemical processes that are constantly occurring within it. A malodorous broth of purulence bubbles about its nucleus, indicating it is ridden with disease.",它是遗忘墓穴中无数年代以来一切腐败物的产物。它散发出一团臭毒云雾，源自体内持续发生的未知化学过程。一锅恶臭的脓液在其核心周围翻泡，显示它满载疾病。
actor_data.description.pickman,"Once a renowned painter, notorious for his ability to depict hauntingly photorealistic scenes of demonic creatures. Now he himself seems to be fully transformed into the likeness of those creatures he used to portray.",他曾是一位著名画家，因能描绘出令人毛骨悚然、近乎照片般真实的恶魔生物场景而臭名昭著。如今他本人似乎已经完全转化成了那些他过去描绘之物的样貌。
actor_data.description.pit_viper,"A fierce predator. It hisses menacingly, and venom drips from its fangs.",凶猛的掠食者。它威胁地嘶嘶作响，毒液从尖牙滴落。
actor_data.description.primordial_worm,"This living fossil appears to have crept unchanged from the dawn of time through untold millions of years. Both a predator and a scavenger, it bites and tears with voracious jaws.",这活化石似乎自时间黎明起便未经改变地爬过了无数千万年。它既是掠食者也是食腐者，用贪婪的颚咬噬撕裂。
actor_data.description.rat,A large aggressive rodent.,一种体型较大且富有攻击性的啮齿动物。
actor_data.description.rat_thing,"A malformed cross of rat and man, birthed from witchcraft. It has a warped human face and vestigial hands for forepaws.",由巫术孕育出的畸形鼠人与人鼠混种。它有一张扭曲的人脸，前爪上长着退化的手。
actor_data.description.raven,A vicious black bird.,一只凶狠的黑鸟。
actor_data.description.red_spider,An enormous red spider.,一只巨大的红色蜘蛛。
actor_data.description.sentry_drone,"An infernal piece of technology, seemingly designed to serve as a sort of guard. It hovers around, searching the area for interlopers to blast on sight. It appears to have some organic parts, and may even be a conscious living being.",一件地狱般的技术造物，似乎被设计成某种守卫。它四处悬浮，搜寻区域内的闯入者并当场轰击。它似乎含有某些有机部件，甚至可能是一个有意识的活物。
actor_data.description.shadow,A living shadow.,活着的阴影。
actor_data.description.shadow_spider,"A faint shadow of a huge spider, lurking in the periphery.",一只巨蜘蛛的淡薄影子，潜伏在视野边缘。
actor_data.description.shapeshifter,A gelatinous worm which contorts and mutates itself into different beings. Destroying the mutated form will revert the creature back to its original shape.,一种胶质蠕虫，会扭曲并突变成不同生物。摧毁其变异形态会使它恢复原本形状。
actor_data.description.spitting_cobra,"A fierce predator. It hisses menacingly, and venom drips from its fangs.",凶猛的掠食者。它威胁地嘶嘶作响，毒液从尖牙滴落。
actor_data.description.strange_color,"A peculiar floating speck of strange shifting colors. It is very confusing to look at. Wherever they pass, they corrupt the environment around them. They are invulnerable to attacks from common materials like iron or steel, but can be destroyed by other forms of damage, such as fire or electricity.",一颗奇特的漂浮斑点，闪烁着不断变幻的怪异色彩。看着它会令人非常困惑。它们所经之处会腐化周遭环境。它们不受铁或钢等普通材料攻击影响，但可以被其他形式的伤害摧毁，例如火焰或电力。
actor_data.description.tentacle_cluster,An array of writhing tentacles sprouting up from the ground.,一簇从地面冒出的扭动触手。
actor_data.description.the_high_priest,"The Supreme Wizard of the Cult of Starry Wisdom. He appears incredibly old, like a hideous ancient vampire or a grim reaper. Tattered crimson robes flow from his skeletal frame, his bony fingers extends into razor sharp claws, and he has a grim expression on his face.",星之智慧教团的至高巫师。他看起来极其苍老，像丑恶的古代吸血鬼或阴森死神。破烂的绯红长袍从骷髅般的身架上垂下，嶙峋手指延伸成剃刀般锋利的爪，脸上带着阴沉神情。
actor_data.description.thing,"A particularly nasty disembodied hand, crawling around frantically on its fingertips like a spider. Beware of the Thing.",一只格外恶毒的脱体手，像蜘蛛一样用指尖疯狂爬行。小心那东西。
actor_data.description.transcendent_rat,A large aggressive rodent.,一种体型较大且富有攻击性的啮齿动物。
actor_data.description.troglodyte,"A small cave-dwelling humanoid. Their mouths are set with rows of serrated teeth, well-adapted for cutting through flesh. However, they are cowardly opportunistic creatures, preferring to stalk lonely prey that they perceive as an easy target - when met with violence, they will usually retreat, at least for a moment.",一种小型穴居类人。它们口中排列着锯齿状牙列，非常适合切割血肉。然而它们是怯懦的机会主义生物，偏好潜伏跟踪那些被视为容易下手的孤单猎物；一旦遭遇暴力反抗，通常会退却，至少会暂时退开。
actor_data.description.vampire_bat,"An unknown species, perhaps stemming from some hidden bowels of the earth. It is about as tall as a full-grown human. Its attack drains health from the victim.",一种未知物种，或许来自地底某处隐秘深处。它几乎有一个成年人那么高。它的攻击会吸取受害者的生命。
actor_data.description.void_traveler,"A nightmarish creature of humanoid shape. It has a hideous gangly physique and sickly pale skin. Its arms are as long as its body is tall, and it attacks with ripping claws. It can seemingly appear anywhere at any time, and can also snatch teleporting creatures from their voyage and draw them to it.",一种人形的噩梦生物。它体态畸长可憎，皮肤病态苍白。双臂与身高等长，以撕裂的爪击攻击。它似乎能在任何时间出现在任何地点，也能从传送旅程中攫住正在传送的生物，将其拖到自己身边。
actor_data.description.warping_aberrance,"An otherworldly life form, akin to a macroscopic amoeba. It disrupts physical space around it, likely an effect of its dissonance with any other cosmos than its own.",一种异界生命体，类似肉眼可见大小的变形虫。它会扰乱周围的物理空间，这很可能是它与自身宇宙之外任何宇宙不协调所造成的效果。
actor_data.description.water_beast,"Poured from brine and maelstrom by nefarious wizardry, it has been endowed with animation in the form of a dreadful beast. Its breath exhales the chaos of primordial waters.",邪恶巫术从咸水与漩涡中倾倒出它，并赋予其可怖野兽的活动形态。它的吐息喷出原初水域的混沌。
actor_data.description.water_hound,"Poured from brine and maelstrom by nefarious wizardry, it has been endowed with animation in the form of a dreadful hound. Its breath exhales the chaos of primordial waters.",邪恶巫术从咸水与漩涡中倾倒出它，并赋予其可怖猎犬的活动形态。它的吐息喷出原初水域的混沌。
actor_data.description.white_spider,An enormous white spider.,一只巨大的白色蜘蛛。
actor_data.description.winged_zombie,"This former corpse has been granted a twisted gift of wings, resembling those of a monstrous bat. Awkward and ungainly in its newfound aerial ability, it navigates the air with unsteady movements. Despite its diminished agility and imprecise strikes, this abomination remains a formidable threat, driven by an insatiable hunger for the living.",这具旧尸体获得了一份扭曲的翅膀礼物，形似怪物蝙蝠之翼。它新得的空中能力笨拙而不灵便，在空中摇晃穿行。尽管敏捷不足、攻击也不够精准，这个憎恶之物仍是强大威胁，受着对活物无尽饥饿的驱使。
actor_data.description.wolf,A large wolf with eyes full of cunning.,一头眼中满是狡黠的大狼。
actor_data.description.worm_mass,A slithering conglomeration of carnivorous worms.,一团滑行的食肉蠕虫聚合体。
actor_data.description.wraith,A powerful spirit.,一个强大的灵体。
actor_data.description.zealot,"Beckoned by The Thousand-Faced Moon into laying its mind bare for the occult, the psyche of this hierophant was ravaged by scores of entities from fiendish realities. They had it gouge out its eyes and tongue, and left it a husk of former humanity. Now it lumbers about aimlessly, brandishing a spiked mace with which it flays itself in mockery of physical anguish.",千面之月召唤这位祭司将心智赤裸献给秘术，随后来自恶毒现实的无数实体蹂躏了他的精神。它们让他挖出自己的眼睛和舌头，只留下昔日人性的空壳。如今他漫无目的地蹒跚，挥舞一柄带刺钉头锤，并以它抽打自己，嘲弄肉体痛苦。
actor_data.description.zombie,This rotting thing appears to have been brought back to life through some abominable process. It has grown sharp claws to attack with.,这具腐烂之物似乎通过某种可憎过程被带回了生命。它长出了用于攻击的锋利爪子。
actor_data.description.zuul,"Zuul the Gatekeeper of Gozer is a demigod and minion of Gozer. It was worshiped by the Sumerians and Hittites in 6000 BC, along with Gozer.",守门者祖尔是戈泽尔的半神与爪牙。它与戈泽尔一同在公元前6000年受到苏美尔人与赫梯人的崇拜。
actor_data.name_a.abaxu,Abaxu the Destroyer,毁灭者阿巴克苏
actor_data.name_a.abyssal_troglodyte,an Abyssal Troglodyte,深渊穴居人
actor_data.name_a.air_beast,an Air Beast,风兽
actor_data.name_a.air_hound,an Air Hound,风猎犬
actor_data.name_a.ape,a Carnivorous Ape,食肉猿
actor_data.name_a.black_mamba,a Black Mamba,黑曼巴
actor_data.name_a.black_phillip,Black Phillip,黑菲利普
actor_data.name_a.bloated_zombie,a Bloated Corpse,臃肿尸体
actor_data.name_a.bog_tcher,a Bog Tcher,博格彻
actor_data.name_a.brown_jenkin,Brown Jenkin,布朗·詹金
actor_data.name_a.byakhee,a Byakhee,拜亚基
actor_data.name_a.chthonian,a Chthonian,地底巨蠕兽
actor_data.name_a.clear_mold,Clear Mold,透明霉菌
actor_data.name_a.corpse_mound,a Corpse Mound,尸丘
actor_data.name_a.crawling_hand,a Crawling Hand,爬行手
actor_data.name_a.croc_head_mummy,a Crocodile Head Mummy,鳄首木乃伊
actor_data.name_a.cultist,a Cultist,邪教徒
actor_data.name_a.cultist_arch_wizard,an Arch Wizard,大巫师
actor_data.name_a.cultist_priest,a Cultist Priest,邪教祭司
actor_data.name_a.cultist_wizard,a Wizard,巫师
actor_data.name_a.dean_halsey,Dean Halsey,哈尔西院长
actor_data.name_a.death_fiend,a Death Fiend,死亡恶魔
actor_data.name_a.deep_one,a Deep One,深潜者
actor_data.name_a.dust_vortex,a Dust Vortex,尘旋
actor_data.name_a.earth_beast,an Earth Beast,土兽
actor_data.name_a.earth_hound,an Earth Hound,土猎犬
actor_data.name_a.elder_void_traveler,an Elder Void Traveler,古老虚空旅者
actor_data.name_a.energy_vortex,an Energy Vortex,能量旋涡
actor_data.name_a.failed_reanimation,a Failed Reanimation,失败复生体
actor_data.name_a.fire_beast,a Fire Beast,火兽
actor_data.name_a.fire_hound,a Fire Hound,火猎犬
actor_data.name_a.fire_vortex,a Fire Vortex,火旋
actor_data.name_a.floating_skull,a Floating Skull,漂浮骷髅
actor_data.name_a.flying_polyp,a Flying Polyp,飞天水螅体
actor_data.name_a.gas_spore,a Gas Spore,瓦斯孢子
actor_data.name_a.ghastly_light,a Ghastly Light,骇人幽光
actor_data.name_a.ghost,a Ghost,幽灵
actor_data.name_a.ghoul,a Ghoul,食尸鬼
actor_data.name_a.giant_bat,a Giant Bat,巨蝠
actor_data.name_a.giant_mantis,a Giant Mantis,巨螳螂
actor_data.name_a.glasuu,a Gla'Suu,格拉苏
actor_data.name_a.greater_polyp,a Greater Polyp,巨型飞天水螅体
actor_data.name_a.green_spider,a Huge Green Spider,巨型绿蜘蛛
actor_data.name_a.high_priest_guard_ghoul,Vrka,弗尔卡
actor_data.name_a.high_priest_guard_rogue,Uraga,乌拉加
actor_data.name_a.high_priest_guard_war_vet,Balastha,巴拉斯塔
actor_data.name_a.hunting_horror,a Hunting Horror,猎怖
actor_data.name_a.intestinal_mass,an Intestinal Mass,肠团
actor_data.name_a.invis_stalker,an Invisible Stalker,隐形潜猎者
actor_data.name_a.keziah_mason,Keziah Mason,凯齐娅·梅森
actor_data.name_a.khaga,a Khaga,卡伽
actor_data.name_a.khaga_offspring,a Khaga Offspring,卡伽幼体
actor_data.name_a.khephren,Khephren,卡夫拉
actor_data.name_a.leng_doomweaver,a Leng Doomweaver,冷原织厄者
actor_data.name_a.leng_matriarch,a Leng Matriarch,冷原主母
actor_data.name_a.leng_spider,a Leng Spider,冷原蜘蛛
actor_data.name_a.leviathan,Leviathan,利维坦
actor_data.name_a.locust,a Giant Locust,巨型蝗虫
actor_data.name_a.major_clapham_lee,Major Clapham-Lee,克拉珀姆-李少校
actor_data.name_a.mi_go,a Mi-Go,米戈
actor_data.name_a.mi_go_bio_engineer,a Mi-Go Bio Engineer,米戈生物工程师
actor_data.name_a.mi_go_commander,a Mi-Go Commander,米戈指挥官
actor_data.name_a.mi_go_omega_sentinel,The Omega Sentinel,欧米伽哨兵
actor_data.name_a.mind_leech,a Mind Leech,心智水蛭
actor_data.name_a.mind_worm,a Mind Worm,心智蠕虫
actor_data.name_a.mirror_image,a Mirror Image,镜像
actor_data.name_a.mold,Mold,霉菌
actor_data.name_a.mold_halluc,Hallucinogenic Mold,致幻霉菌
actor_data.name_a.mummy,a Mummy,木乃伊
actor_data.name_a.niduza,Niduza,尼杜扎
actor_data.name_a.nitokris,Nitokris,尼托克丽丝
actor_data.name_a.ooze_lurking,a Lurking Ooze,潜伏软泥
actor_data.name_a.ooze_poison,a Poison Ooze,毒性软泥
actor_data.name_a.ooze_putrid,a Putrid Ooze,腐臭软泥
actor_data.name_a.pickman,Richard Upton Pickman,理查德·厄普顿·皮克曼
actor_data.name_a.pit_viper,a Pit Viper,坑蝰
actor_data.name_a.primordial_worm,a Primordial Worm,原初蠕虫
actor_data.name_a.rat,a Rat,老鼠
actor_data.name_a.rat_thing,a Rat-thing,鼠怪
actor_data.name_a.raven,a Raven,渡鸦
actor_data.name_a.red_spider,a Huge Red Spider,巨型红蜘蛛
actor_data.name_a.sentry_drone,a Sentry Drone,哨戒无人机
actor_data.name_a.shadow,a Shadow,阴影
actor_data.name_a.shadow_spider,a Shadow Spider,影蛛
actor_data.name_a.shapeshifter,a Shapeshifter,变形者
actor_data.name_a.spitting_cobra,a Spitting Cobra,喷毒眼镜蛇
actor_data.name_a.strange_color,a Strange Color,异色
actor_data.name_a.tentacle_cluster,a Tentacle Cluster,触手丛
actor_data.name_a.the_high_priest,The High Priest,大祭司
actor_data.name_a.thing,Thing,那东西
actor_data.name_a.transcendent_rat,a Rat,老鼠
actor_data.name_a.troglodyte,a Troglodyte,穴居人
actor_data.name_a.vampire_bat,a Vampire Bat,吸血蝙蝠
actor_data.name_a.void_traveler,a Void Traveler,虚空旅者
actor_data.name_a.warping_aberrance,a Warping Aberrance,扭曲畸体
actor_data.name_a.water_beast,a Water Beast,水兽
actor_data.name_a.water_hound,a Water Hound,水猎犬
actor_data.name_a.white_spider,a Huge White Spider,巨型白蜘蛛
actor_data.name_a.winged_zombie,a Winged Corpse,翼尸
actor_data.name_a.wolf,a Wolf,狼
actor_data.name_a.worm_mass,a Worm Mass,蠕虫团
actor_data.name_a.wraith,a Wraith,怨灵
actor_data.name_a.zealot,a Blinded Zealot,盲目狂信徒
actor_data.name_a.zombie,a Reanimated Corpse,复生尸体
actor_data.name_a.zuul,Zuul the Gatekeeper,守门者祖尔
actor_data.name_the.abaxu,Abaxu the Destroyer,毁灭者阿巴克苏
actor_data.name_the.abyssal_troglodyte,the Abyssal Troglodyte,深渊穴居人
actor_data.name_the.air_beast,the Air Beast,风兽
actor_data.name_the.air_hound,the Air Hound,风猎犬
actor_data.name_the.ape,the Carnivorous Ape,食肉猿
actor_data.name_the.black_mamba,the Black Mamba,黑曼巴
actor_data.name_the.black_phillip,Black Phillip,黑菲利普
actor_data.name_the.bloated_zombie,the Bloated Corpse,臃肿尸体
actor_data.name_the.bog_tcher,the Bog Tcher,博格彻
actor_data.name_the.brown_jenkin,Brown Jenkin,布朗·詹金
actor_data.name_the.byakhee,the Byakhee,拜亚基
actor_data.name_the.chthonian,the Chthonian,地底巨蠕兽
actor_data.name_the.clear_mold,the Clear Mold,透明霉菌
actor_data.name_the.corpse_mound,the Corpse Mound,尸丘
actor_data.name_the.crawling_hand,the Crawling Hand,爬行手
actor_data.name_the.croc_head_mummy,the Crocodile Head Mummy,鳄首木乃伊
actor_data.name_the.cultist,the Cultist,邪教徒
actor_data.name_the.cultist_arch_wizard,the Arch Wizard,大巫师
actor_data.name_the.cultist_priest,the Cultist Priest,邪教祭司
actor_data.name_the.cultist_wizard,the Wizard,巫师
actor_data.name_the.dean_halsey,Dean Halsey,哈尔西院长
actor_data.name_the.death_fiend,the Death Fiend,死亡恶魔
actor_data.name_the.deep_one,the Deep One,深潜者
actor_data.name_the.dust_vortex,the Dust Vortex,尘旋
actor_data.name_the.earth_beast,the Earth Beast,土兽
actor_data.name_the.earth_hound,the Earth Hound,土猎犬
actor_data.name_the.elder_void_traveler,the Elder Void Traveler,古老虚空旅者
actor_data.name_the.energy_vortex,the Energy Vortex,能量旋涡
actor_data.name_the.failed_reanimation,the Failed Reanimation,失败复生体
actor_data.name_the.fire_beast,the Fire Beast,火兽
actor_data.name_the.fire_hound,the Fire Hound,火猎犬
actor_data.name_the.fire_vortex,the Fire Vortex,火旋
actor_data.name_the.floating_skull,the Floating Skull,漂浮骷髅
actor_data.name_the.flying_polyp,the Flying Polyp,飞天水螅体
actor_data.name_the.gas_spore,the Gas Spore,瓦斯孢子
actor_data.name_the.ghastly_light,the Ghastly Light,骇人幽光
actor_data.name_the.ghost,the Ghost,幽灵
actor_data.name_the.ghoul,the Ghoul,食尸鬼
actor_data.name_the.giant_bat,the Giant Bat,巨蝠
actor_data.name_the.giant_mantis,the Giant Mantis,巨螳螂
actor_data.name_the.glasuu,the Gla'Suu,格拉苏
actor_data.name_the.greater_polyp,the Greater Polyp,巨型飞天水螅体
actor_data.name_the.green_spider,the Huge Green Spider,巨型绿蜘蛛
actor_data.name_the.high_priest_guard_ghoul,Vrka,弗尔卡
actor_data.name_the.high_priest_guard_rogue,Uraga,乌拉加
actor_data.name_the.high_priest_guard_war_vet,Balastha,巴拉斯塔
actor_data.name_the.hunting_horror,the Hunting Horror,猎怖
actor_data.name_the.intestinal_mass,the Intestinal Mass,肠团
actor_data.name_the.invis_stalker,the Invisible Stalker,隐形潜猎者
actor_data.name_the.keziah_mason,Keziah Mason,凯齐娅·梅森
actor_data.name_the.khaga,the Khaga,卡伽
actor_data.name_the.khaga_offspring,the Khaga Offspring,卡伽幼体
actor_data.name_the.khephren,Khephren,卡夫拉
actor_data.name_the.leng_doomweaver,the Leng Doomweaver,冷原织厄者
actor_data.name_the.leng_matriarch,the Leng Matriarch,冷原主母
actor_data.name_the.leng_spider,the Leng Spider,冷原蜘蛛
actor_data.name_the.leviathan,Leviathan,利维坦
actor_data.name_the.locust,the Giant Locust,巨型蝗虫
actor_data.name_the.major_clapham_lee,Major Clapham-Lee,克拉珀姆-李少校
actor_data.name_the.mi_go,the Mi-Go,米戈
actor_data.name_the.mi_go_bio_engineer,the Mi-Go Bio Engineer,米戈生物工程师
actor_data.name_the.mi_go_commander,the Mi-Go Commander,米戈指挥官
actor_data.name_the.mi_go_omega_sentinel,The Omega Sentinel,欧米伽哨兵
actor_data.name_the.mind_leech,the Mind Leech,心智水蛭
actor_data.name_the.mind_worm,the Mind Worm,心智蠕虫
actor_data.name_the.mirror_image,the Mirror Image,镜像
actor_data.name_the.mold,the Mold,霉菌
actor_data.name_the.mold_halluc,the Hallucinogenic Mold,致幻霉菌
actor_data.name_the.mummy,the Mummy,木乃伊
actor_data.name_the.niduza,Niduza,尼杜扎
actor_data.name_the.nitokris,Nitokris,尼托克丽丝
actor_data.name_the.ooze_lurking,the Lurking Ooze,潜伏软泥
actor_data.name_the.ooze_poison,the Poison Ooze,毒性软泥
actor_data.name_the.ooze_putrid,the Putrid Ooze,腐臭软泥
actor_data.name_the.pickman,Richard Upton Pickman,理查德·厄普顿·皮克曼
actor_data.name_the.pit_viper,the Pit Viper,坑蝰
actor_data.name_the.primordial_worm,the Primordial Worm,原初蠕虫
actor_data.name_the.rat,the Rat,老鼠
actor_data.name_the.rat_thing,the Rat-thing,鼠怪
actor_data.name_the.raven,the Raven,渡鸦
actor_data.name_the.red_spider,the Huge Red Spider,巨型红蜘蛛
actor_data.name_the.sentry_drone,the Sentry Drone,哨戒无人机
actor_data.name_the.shadow,the Shadow,阴影
actor_data.name_the.shadow_spider,the Shadow Spider,影蛛
actor_data.name_the.shapeshifter,the Shapeshifter,变形者
actor_data.name_the.spitting_cobra,the Spitting Cobra,喷毒眼镜蛇
actor_data.name_the.strange_color,the Strange Color,异色
actor_data.name_the.tentacle_cluster,the Tentacle Cluster,触手丛
actor_data.name_the.the_high_priest,The High Priest,大祭司
actor_data.name_the.thing,Thing,那东西
actor_data.name_the.transcendent_rat,the Rat,老鼠
actor_data.name_the.troglodyte,the Troglodyte,穴居人
actor_data.name_the.vampire_bat,the Vampire Bat,吸血蝙蝠
actor_data.name_the.void_traveler,the Void Traveler,虚空旅者
actor_data.name_the.warping_aberrance,the Warping Aberrance,扭曲畸体
actor_data.name_the.water_beast,the Water Beast,水兽
actor_data.name_the.water_hound,the Water Hound,水猎犬
actor_data.name_the.white_spider,the Huge White Spider,巨型白蜘蛛
actor_data.name_the.winged_zombie,the Winged Corpse,翼尸
actor_data.name_the.wolf,the Wolf,狼
actor_data.name_the.worm_mass,the Worm Mass,蠕虫团
actor_data.name_the.wraith,the Wraith,怨灵
actor_data.name_the.zealot,the Blinded Zealot,盲目狂信徒
actor_data.name_the.zombie,the Reanimated Corpse,复生尸体
actor_data.name_the.zuul,Zuul the Gatekeeper,守门者祖尔
actor_data.smell.briny,There is a briny smell here.,这里有一股咸腥味。
actor_data.smell.death,It smells like death here.,这里闻起来像死亡。
actor_data.smell.decayed_flesh,There is a stench of decayed flesh here.,这里有一股腐烂血肉的恶臭。
actor_data.smell.fetid_viscous_odor,"The air is heavy with a fetid, viscous odor.",空气中弥漫着浓重黏腻的恶臭。
actor_data.smell.filth_and_decrepitude,It smells like filth and decrepitude here.,这里闻起来满是污秽与腐朽。
actor_data.smell.open_grave,It smells like an open grave here.,这里闻起来像敞开的坟墓。
actor_data.spell_sound.bog_tcher,mutters incantations.,喃喃念诵咒语。
actor_data.spell_sound.croc_head_mummy,speaks incantations in a hollow voice.,用空洞的声音念诵咒语。
actor_data.spell_sound.cultist,mutters incantations.,喃喃念诵咒语。
actor_data.spell_sound.cultist_arch_wizard,mutters incantations.,喃喃念诵咒语。
actor_data.spell_sound.cultist_priest,mutters incantations.,喃喃念诵咒语。
actor_data.spell_sound.cultist_wizard,mutters incantations.,喃喃念诵咒语。
actor_data.spell_sound.death_fiend,speaks incantations in a deep hollow voice.,用低沉空洞的声音念诵咒语。
actor_data.spell_sound.elder_void_traveler,speaks incantations.,念诵咒语。
actor_data.spell_sound.floating_skull,spews forth a litany of curses.,喷吐出一连串诅咒。
actor_data.spell_sound.high_priest_guard_ghoul,mutters incantations.,喃喃念诵咒语。
actor_data.spell_sound.high_priest_guard_rogue,mutters incantations.,喃喃念诵咒语。
actor_data.spell_sound.high_priest_guard_war_vet,mutters incantations.,喃喃念诵咒语。
actor_data.spell_sound.keziah_mason,croaks incantations.,嘎嘎地念诵咒语。
actor_data.spell_sound.khaga,makes a piercing noise.,发出刺耳的声音。
actor_data.spell_sound.khaga_offspring,makes a piercing noise.,发出刺耳的声音。
actor_data.spell_sound.khephren,speaks incantations in a hollow voice.,用空洞的声音念诵咒语。
actor_data.spell_sound.leng_doomweaver,fidgets madly.,疯狂地扭动。
actor_data.spell_sound.leng_matriarch,chirps hideously.,发出可怖的啁啾。
actor_data.spell_sound.leviathan,makes a roaring noise,发出咆哮声
actor_data.spell_sound.mi_go,speaks incantations in a droning voice.,用嗡嗡的声音念诵咒语。
actor_data.spell_sound.mi_go_bio_engineer,speaks incantations in a droning voice.,用嗡嗡的声音念诵咒语。
actor_data.spell_sound.mi_go_commander,speaks incantations in a droning voice.,用嗡嗡的声音念诵咒语。
actor_data.spell_sound.mi_go_omega_sentinel,speaks incantations in a droning voice.,用嗡嗡的声音念诵咒语。
actor_data.spell_sound.mummy,speaks incantations in a hollow voice.,用空洞的声音念诵咒语。
actor_data.spell_sound.niduza,speaks incantations.,念诵咒语。
actor_data.spell_sound.nitokris,speaks incantations in a hollow voice.,用空洞的声音念诵咒语。
actor_data.spell_sound.rat,chatters.,吱吱作响。
actor_data.spell_sound.sentry_drone,makes buzzing sounds in peculiar frequencies.,以怪异频率发出嗡鸣。
actor_data.spell_sound.the_high_priest,speaks incantations in a deep hollow voice.,用低沉空洞的声音念诵咒语。
actor_data.spell_sound.transcendent_rat,chatters.,吱吱作响。
actor_data.spell_sound.void_traveler,speaks incantations.,念诵咒语。
actor_data.spell_sound.wraith,speaks incantations in a deep hollow voice.,用低沉空洞的声音念诵咒语。
actor_data.spell_sound.zealot,mutters incantations.,喃喃念诵咒语。
actor_data.spell_visual.bog_tcher,makes gestures in the air.,在空中比划手势。
actor_data.spell_visual.croc_head_mummy,makes gestures in the air.,在空中比划手势。
actor_data.spell_visual.cultist,makes gestures in the air.,在空中比划手势。
actor_data.spell_visual.cultist_arch_wizard,makes gestures in the air.,在空中比划手势。
actor_data.spell_visual.cultist_priest,makes gestures in the air.,在空中比划手势。
actor_data.spell_visual.cultist_wizard,makes gestures in the air.,在空中比划手势。
actor_data.spell_visual.death_fiend,makes gestures in the air.,在空中比划手势。
actor_data.spell_visual.elder_void_traveler,makes gestures in the air.,在空中比划手势。
actor_data.spell_visual.floating_skull,exhales a cloud of twisting curses.,呼出一团扭曲的诅咒。
actor_data.spell_visual.high_priest_guard_ghoul,makes gestures in the air.,在空中比划手势。
actor_data.spell_visual.high_priest_guard_rogue,makes gestures in the air.,在空中比划手势。
actor_data.spell_visual.high_priest_guard_war_vet,makes gestures in the air.,在空中比划手势。
actor_data.spell_visual.keziah_mason,makes gestures in the air.,在空中比划手势。
actor_data.spell_visual.khaga,weaves patterns in the air.,在空中织出纹样。
actor_data.spell_visual.khaga_offspring,weaves patterns in the air.,在空中织出纹样。
actor_data.spell_visual.khephren,makes gestures in the air.,在空中比划手势。
actor_data.spell_visual.leng_doomweaver,fidgets madly.,疯狂地扭动。
actor_data.spell_visual.leng_matriarch,fidgets madly.,疯狂地扭动。
actor_data.spell_visual.leviathan,pulses with arcane energy.,随着奥术能量脉动。
actor_data.spell_visual.mi_go,"weaves patterns with twitching, inhuman motions.",以抽搐的非人动作织出纹样。
actor_data.spell_visual.mi_go_bio_engineer,"weaves patterns with twitching, inhuman motions.",以抽搐的非人动作织出纹样。
actor_data.spell_visual.mi_go_commander,"weaves patterns with twitching, inhuman motions.",以抽搐的非人动作织出纹样。
actor_data.spell_visual.mi_go_omega_sentinel,"weaves patterns with twitching, inhuman motions.",以抽搐的非人动作织出纹样。
actor_data.spell_visual.mummy,makes gestures in the air.,在空中比划手势。
actor_data.spell_visual.niduza,makes gestures in the air.,在空中比划手势。
actor_data.spell_visual.nitokris,makes gestures in the air.,在空中比划手势。
actor_data.spell_visual.rat,makes gestures in the air.,在空中比划手势。
actor_data.spell_visual.sentry_drone,projects shifting patterns in the air.,在空中投射变幻的图案。
actor_data.spell_visual.the_high_priest,makes gestures in the air.,在空中比划手势。
